Year,Month,Value,series_id
2024,11,4.2,LNS14000000
2024,10,4.1,LNS14000000
2024,9,4.1,LNS14000000
2024,8,4.2,LNS14000000
2024,7,4.3,LNS14000000
2024,6,4.1,LNS14000000
2024,5,4.0,LNS14000000
2024,4,3.9,LNS14000000
2024,3,3.8,LNS14000000
2024,2,3.9,LNS14000000
2024,1,3.7,LNS14000000
2023,12,3.7,LNS14000000
2023,11,3.7,LNS14000000
2023,10,3.8,LNS14000000
2023,9,3.8,LNS14000000
2023,8,3.8,LNS14000000
2023,7,3.5,LNS14000000
2023,6,3.6,LNS14000000
2023,5,3.7,LNS14000000
2023,4,3.4,LNS14000000
2023,3,3.5,LNS14000000
2023,2,3.6,LNS14000000
2023,1,3.4,LNS14000000
2022,12,3.5,LNS14000000
2022,11,3.6,LNS14000000
2022,10,3.6,LNS14000000
2022,9,3.5,LNS14000000
2022,8,3.6,LNS14000000
2022,7,3.5,LNS14000000
2022,6,3.6,LNS14000000
2022,5,3.6,LNS14000000
2022,4,3.7,LNS14000000
2022,3,3.6,LNS14000000
2022,2,3.8,LNS14000000
2022,1,4.0,LNS14000000
2021,12,3.9,LNS14000000
2021,11,4.1,LNS14000000
2021,10,4.5,LNS14000000
2021,9,4.7,LNS14000000
2021,8,5.1,LNS14000000
2021,7,5.4,LNS14000000
2021,6,5.9,LNS14000000
2021,5,5.8,LNS14000000
2021,4,6.1,LNS14000000
2021,3,6.1,LNS14000000
2021,2,6.2,LNS14000000
2021,1,6.4,LNS14000000
2020,12,6.7,LNS14000000
2020,11,6.7,LNS14000000
2020,10,6.8,LNS14000000
2020,9,7.8,LNS14000000
2020,8,8.4,LNS14000000
2020,7,10.2,LNS14000000
2020,6,11.0,LNS14000000
2020,5,13.2,LNS14000000
2020,4,14.8,LNS14000000
2020,3,4.4,LNS14000000
2020,2,3.5,LNS14000000
2020,1,3.6,LNS14000000
2019,12,3.6,LNS14000000
2019,11,3.6,LNS14000000
2019,10,3.6,LNS14000000
2019,9,3.5,LNS14000000
2019,8,3.6,LNS14000000
2019,7,3.7,LNS14000000
2019,6,3.6,LNS14000000
2019,5,3.6,LNS14000000
2019,4,3.7,LNS14000000
2019,3,3.8,LNS14000000
2019,2,3.8,LNS14000000
2019,1,4.0,LNS14000000
2018,12,3.9,LNS14000000
2018,11,3.8,LNS14000000
2018,10,3.8,LNS14000000
2018,9,3.7,LNS14000000
2018,8,3.8,LNS14000000
2018,7,3.8,LNS14000000
2018,6,4.0,LNS14000000
2018,5,3.8,LNS14000000
2018,4,4.0,LNS14000000
2018,3,4.0,LNS14000000
2018,2,4.1,LNS14000000
2018,1,4.0,LNS14000000
2017,12,4.1,LNS14000000
2017,11,4.2,LNS14000000
2017,10,4.2,LNS14000000
2017,9,4.3,LNS14000000
2017,8,4.4,LNS14000000
2017,7,4.3,LNS14000000
2017,6,4.3,LNS14000000
2017,5,4.4,LNS14000000
2017,4,4.4,LNS14000000
2017,3,4.4,LNS14000000
2017,2,4.6,LNS14000000
2017,1,4.7,LNS14000000
2016,12,4.7,LNS14000000
2016,11,4.7,LNS14000000
2016,10,4.9,LNS14000000
2016,9,5.0,LNS14000000
2016,8,4.9,LNS14000000
2016,7,4.8,LNS14000000
2016,6,4.9,LNS14000000
2016,5,4.8,LNS14000000
2016,4,5.1,LNS14000000
2016,3,5.0,LNS14000000
2016,2,4.9,LNS14000000
2016,1,4.8,LNS14000000
2015,12,5.0,LNS14000000
2015,11,5.1,LNS14000000
2015,10,5.0,LNS14000000
2015,9,5.0,LNS14000000
2015,8,5.1,LNS14000000
2015,7,5.2,LNS14000000
2015,6,5.3,LNS14000000
2015,5,5.6,LNS14000000
2015,4,5.4,LNS14000000
2015,3,5.4,LNS14000000
2015,2,5.5,LNS14000000
2015,1,5.7,LNS14000000
2024,11,159288,CES0000000001
2024,10,159061,CES0000000001
2024,9,159025,CES0000000001
2024,8,158770,CES0000000001
2024,7,158692,CES0000000001
2024,6,158548,CES0000000001
2024,5,158430,CES0000000001
2024,4,158214,CES0000000001
2024,3,158106,CES0000000001
2024,2,157796,CES0000000001
2024,1,157560,CES0000000001
2023,12,157304,CES0000000001
2023,11,157014,CES0000000001
2023,10,156832,CES0000000001
2023,9,156667,CES0000000001
2023,8,156421,CES0000000001
2023,7,156211,CES0000000001
2023,6,156027,CES0000000001
2023,5,155787,CES0000000001
2023,4,155484,CES0000000001
2023,3,155206,CES0000000001
2023,2,155060,CES0000000001
2023,1,154773,CES0000000001
2022,12,154291,CES0000000001
2022,11,154155,CES0000000001
2022,10,153897,CES0000000001
2022,9,153536,CES0000000001
2022,8,153281,CES0000000001
2022,7,153038,CES0000000001
2022,6,152348,CES0000000001
2022,5,151928,CES0000000001
2022,4,151642,CES0000000001
2022,3,151370,CES0000000001
2022,2,150876,CES0000000001
2022,1,150014,CES0000000001
2021,12,149763,CES0000000001
2021,11,149197,CES0000000001
2021,10,148566,CES0000000001
2021,9,147706,CES0000000001
2021,8,147226,CES0000000001
2021,7,146761,CES0000000001
2021,6,145822,CES0000000001
2021,5,145044,CES0000000001
2021,4,144593,CES0000000001
2021,3,144274,CES0000000001
2021,2,143443,CES0000000001
2021,1,142916,CES0000000001
2020,12,142518,CES0000000001
2020,11,142761,CES0000000001
2020,10,142493,CES0000000001
2020,9,141820,CES0000000001
2020,8,140774,CES0000000001
2020,7,139240,CES0000000001
2020,6,137655,CES0000000001
2020,5,133040,CES0000000001
2020,4,130421,CES0000000001
2020,3,150898,CES0000000001
2020,2,152309,CES0000000001
2020,1,152045,CES0000000001
2019,12,151792,CES0000000001
2019,11,151666,CES0000000001
2019,10,151458,CES0000000001
2019,9,151358,CES0000000001
2019,8,151155,CES0000000001
2019,7,150934,CES0000000001
2019,6,150844,CES0000000001
2019,5,150640,CES0000000001
2019,4,150602,CES0000000001
2019,3,150294,CES0000000001
2019,2,150067,CES0000000001
2019,1,150062,CES0000000001
2018,12,149804,CES0000000001
2018,11,149622,CES0000000001
2018,10,149525,CES0000000001
2018,9,149361,CES0000000001
2018,8,149274,CES0000000001
2018,7,149023,CES0000000001
2018,6,148968,CES0000000001
2018,5,148755,CES0000000001
2018,4,148426,CES0000000001
2018,3,148280,CES0000000001
2018,2,148054,CES0000000001
2018,1,147667,CES0000000001
2017,12,147521,CES0000000001
2017,11,147375,CES0000000001
2017,10,147146,CES0000000001
2017,9,146999,CES0000000001
2017,8,146907,CES0000000001
2017,7,146772,CES0000000001
2017,6,146588,CES0000000001
2017,5,146389,CES0000000001
2017,4,146173,CES0000000001
2017,3,145976,CES0000000001
2017,2,145848,CES0000000001
2017,1,145636,CES0000000001
2016,12,145410,CES0000000001
2016,11,145188,CES0000000001
2016,10,145069,CES0000000001
2016,9,144961,CES0000000001
2016,8,144664,CES0000000001
2016,7,144515,CES0000000001
2016,6,144152,CES0000000001
2016,5,143901,CES0000000001
2016,4,143856,CES0000000001
2016,3,143666,CES0000000001
2016,2,143411,CES0000000001
2016,1,143196,CES0000000001
2015,12,143083,CES0000000001
2015,11,142810,CES0000000001
2015,10,142584,CES0000000001
2015,9,142265,CES0000000001
2015,8,142130,CES0000000001
2015,7,141989,CES0000000001
2015,6,141695,CES0000000001
2015,5,141539,CES0000000001
2015,4,141202,CES0000000001
2015,3,140925,CES0000000001
2015,2,140831,CES0000000001
2015,1,140562,CES0000000001
2024,11,34.3,CES0500000002
2024,10,34.2,CES0500000002
2024,9,34.3,CES0500000002
2024,8,34.3,CES0500000002
2024,7,34.2,CES0500000002
2024,6,34.3,CES0500000002
2024,5,34.3,CES0500000002
2024,4,34.3,CES0500000002
2024,3,34.4,CES0500000002
2024,2,34.3,CES0500000002
2024,1,34.2,CES0500000002
2023,12,34.4,CES0500000002
2023,11,34.4,CES0500000002
2023,10,34.3,CES0500000002
2023,9,34.4,CES0500000002
2023,8,34.4,CES0500000002
2023,7,34.3,CES0500000002
2023,6,34.4,CES0500000002
2023,5,34.4,CES0500000002
2023,4,34.3,CES0500000002
2023,3,34.4,CES0500000002
2023,2,34.5,CES0500000002
2023,1,34.6,CES0500000002
2022,12,34.4,CES0500000002
2022,11,34.5,CES0500000002
2022,10,34.6,CES0500000002
2022,9,34.6,CES0500000002
2022,8,34.5,CES0500000002
2022,7,34.6,CES0500000002
2022,6,34.6,CES0500000002
2022,5,34.6,CES0500000002
2022,4,34.7,CES0500000002
2022,3,34.7,CES0500000002
2022,2,34.7,CES0500000002
2022,1,34.5,CES0500000002
2021,12,34.8,CES0500000002
2021,11,34.8,CES0500000002
2021,10,34.7,CES0500000002
2021,9,34.8,CES0500000002
2021,8,34.7,CES0500000002
2021,7,34.9,CES0500000002
2021,6,34.8,CES0500000002
2021,5,34.9,CES0500000002
2021,4,35.0,CES0500000002
2021,3,35.0,CES0500000002
2021,2,34.6,CES0500000002
2021,1,34.9,CES0500000002
2020,12,34.8,CES0500000002
2020,11,34.8,CES0500000002
2020,10,34.9,CES0500000002
2020,9,34.8,CES0500000002
2020,8,34.7,CES0500000002
2020,7,34.6,CES0500000002
2020,6,34.6,CES0500000002
2020,5,34.7,CES0500000002
2020,4,34.2,CES0500000002
2020,3,34.0,CES0500000002
2020,2,34.3,CES0500000002
2020,1,34.3,CES0500000002
2019,12,34.3,CES0500000002
2019,11,34.3,CES0500000002
2019,10,34.3,CES0500000002
2019,9,34.4,CES0500000002
2019,8,34.4,CES0500000002
2019,7,34.4,CES0500000002
2019,6,34.4,CES0500000002
2019,5,34.4,CES0500000002
2019,4,34.4,CES0500000002
2019,3,34.5,CES0500000002
2019,2,34.4,CES0500000002
2019,1,34.5,CES0500000002
2018,12,34.5,CES0500000002
2018,11,34.4,CES0500000002
2018,10,34.5,CES0500000002
2018,9,34.4,CES0500000002
2018,8,34.5,CES0500000002
2018,7,34.5,CES0500000002
2018,6,34.6,CES0500000002
2018,5,34.5,CES0500000002
2018,4,34.5,CES0500000002
2018,3,34.5,CES0500000002
2018,2,34.5,CES0500000002
2018,1,34.4,CES0500000002
2017,12,34.4,CES0500000002
2017,11,34.5,CES0500000002
2017,10,34.4,CES0500000002
2017,9,34.3,CES0500000002
2017,8,34.4,CES0500000002
2017,7,34.4,CES0500000002
2017,6,34.4,CES0500000002
2017,5,34.4,CES0500000002
2017,4,34.4,CES0500000002
2017,3,34.3,CES0500000002
2017,2,34.3,CES0500000002
2017,1,34.4,CES0500000002
2016,12,34.4,CES0500000002
2016,11,34.3,CES0500000002
2016,10,34.4,CES0500000002
2016,9,34.4,CES0500000002
2016,8,34.3,CES0500000002
2016,7,34.4,CES0500000002
2016,6,34.4,CES0500000002
2016,5,34.4,CES0500000002
2016,4,34.4,CES0500000002
2016,3,34.4,CES0500000002
2016,2,34.4,CES0500000002
2016,1,34.6,CES0500000002
2015,12,34.5,CES0500000002
2015,11,34.5,CES0500000002
2015,10,34.5,CES0500000002
2015,9,34.5,CES0500000002
2015,8,34.6,CES0500000002
2015,7,34.5,CES0500000002
2015,6,34.5,CES0500000002
2015,5,34.5,CES0500000002
2015,4,34.5,CES0500000002
2015,3,34.5,CES0500000002
2015,2,34.6,CES0500000002
2015,1,34.5,CES0500000002
